year,doy,doy_cont,time,Mdate,dnr,dng,dnb,dnr_sd,dng_sd,dnb_sd,gcc
2020,258,258,1500,681268,114.987,107.245,91.6485,22.5084,20.9092,17.7968,0.341674618
2020,258,258,1530,681268,106.064,98.9999,85.3765,22.5747,20.7828,17.7467,0.340861326
2020,259,259,900,681268,149.112,128.548,92.2902,20.1211,18.5147,14.6992,0.347473795
2020,259,259,930,681268,154.01,131.064,90.3929,18.6584,17.8234,13.9418,0.349069385
2020,259,259,1000,681268,152.95,131.21,92.3121,18.5379,17.7691,14.1436,0.348525163
2020,259,259,1100,681268,152.956,131.309,93.9381,19.1263,18.4621,14.8102,0.34719176
2020,259,259,1130,681268,151.646,130.338,93.7247,19.3812,18.7315,15.071,0.346912382
2020,259,259,1200,681268,147.846,129.031,98.5687,20.2011,19.4506,16.2408,0.343674198
2020,259,259,1230,681268,141.524,128.316,105.716,20.7313,19.9799,17.3213,0.341669418
2020,259,259,1300,681268,139.309,124.708,99.7519,20.7154,19.688,16.5528,0.34282205
2020,259,259,1330,681268,138.713,122.031,95.1599,21.6596,20.4582,16.9063,0.342876265
2020,259,259,1400,681268,130.364,117.294,94.9238,22.223,20.8251,17.4691,0.342382462
2020,259,259,1430,681268,124.623,112.499,91.6678,22.9128,21.2995,17.8742,0.342160858
2020,259,259,1500,681268,116.193,106.553,90.7566,23.0229,21.3187,18.1017,0.339879159
2020,259,259,1530,681268,106.26,100.155,87.8327,22.8016,21.2296,18.3999,0.340376492
2020,260,260,900,681268,127.958,114.605,90.1929,19.4,17.2055,13.6993,0.344411624
2020,260,260,930,681268,138.302,123.18,95.5416,19.6642,17.9024,14.4498,0.345019209
2020,260,260,1000,681268,151.379,134.949,96.9553,18.6147,17.8476,14.408,0.352086825
2020,260,260,1230,681268,153.264,133.714,91.501,21.0722,20.8268,16.8815,0.353293049
2020,260,260,1300,681268,151.931,132.753,91.2253,21.2491,20.8904,16.678,0.353151678
2020,260,260,1330,681268,153.64,131.787,84.7563,22.0611,21.5698,16.576,0.356004714
2020,260,260,1400,681268,149.132,128.092,87.0393,22.92,22.0991,17.0818,0.351646735
2020,260,260,1430,681268,146.707,125.507,84.2429,23.9905,22.787,17.3172,0.352095863
2020,260,260,1500,681268,144.777,120.488,76.8849,25.3315,23.4755,16.9682,0.352149745
2020,260,260,1530,681268,134.415,112.903,78.3402,26.9919,24.5407,18.5529,0.346691715
2020,261,261,900,681268,163.951,132.82,77.6271,19.2518,18.8178,13.2196,0.354756074
2020,261,261,930,681268,161.815,133.573,80.088,18.4257,17.9612,13.0744,0.35574311
