"period","n_data","control_mean","control_sd","control_q975","control_q025","treatment_mean","treatment_sd","treatment_q975","treatment_q025"
"Nov_Apr_year1",8737,101.577827706085,46.3600478761642,185.877340457253,18.3334213080924,-13.6224796410336,30.0085595242185,40.7458457118105,-75.9658322229691
"Nov_Apr_year2",8689,76.4637823333143,30.9953849853203,130.782228620164,14.6860970074791,3.9064684050193,8.92187705460633,20.8221471811608,-11.6315068257992
"phenology_year1",6865,18.1280637674482,25.183822032166,77.7850955684332,-38.2649503184804,-32.8219370939297,24.5038037789993,11.021650801218,-83.2937385438817
"phenology_year2",4993,-6.94403080223145,22.4751121541193,28.671607243622,-54.3456038206059,-43.8602015128032,2.91097354139215,-37.8869564038652,-47.8822070506701
"vwc05_year1",7489,64.6399961752984,24.0904071084652,114.608410980341,15.6009481959801,-4.32727369836805,25.2035027494089,40.062062676136,-57.7620139111509
"vwc05_year2",4369,-22.0677802071011,22.371253214294,12.3722829668875,-69.3698475672471,-51.6330204657196,1.89082783249787,-48.0275232012795,-53.0516695220802
"vwc10_year1",7105,28.057253843411,28.3708535779925,94.3859886298369,-39.2191023450177,-4.00146765504767,25.3477923220174,39.9283928912919,-55.7360366991859
"vwc10_year2",3169,4.97391599418309,22.4169760991903,37.8284822968454,-43.8394318474217,-30.1660877237004,1.76962338787887,-26.7415332893921,-31.9722984106676
