"suggroup","daynight","samples","rsquare","slope","intercept","rmse","mae"
"control_pre_compost","day",1115,0.710718396137554,1.01989858117053,0.0675605581072268,2.14549130363465,1.57798938957389
"control_post_compost","day",1657,0.682777953264654,1.01441092834126,0.0284445738287993,1.65664736338175,1.15341722967939
"treatment_pre_compost","day",671,0.651252531195091,1.02984635234961,0.0490033070839791,2.95545898489812,2.13830972034863
"treatment_post_compost","day",1049,0.683482270927876,1.01868446554918,0.0467987902954421,2.1210098546371,1.50009488393857
"control_pre_compost","night",296,0.256206309699495,1.22597421355421,-0.676519980003649,1.97768120949715,1.29319424375177
"control_post_compost","night",494,0.272202010762847,1.15882682374344,-0.32182790636288,1.35721285267205,0.850817887156408
"treatment_pre_compost","night",2029,0.188114241715835,1.04578885702954,-0.12319667630047,2.57377925570559,1.74922196676537
"treatment_post_compost","night",2608,0.167211057131575,1.09849319286111,-0.20549788769167,1.97530335802292,1.30528665599728
