"Treatment","Water.year","Annual.NPP_mean","Annual.total.soil.respiration_mean","Net.C.storage.30..Rh_mean","Net.C.storage.50..Rh_mean","Net.C.storage.60..Rh_mean","NEE_as_NPP_minus_tot_resp_mean","Annual.NPP_SE","Annual.total.soil.respiration_SE","Net.C.storage.30..Rh_SE","Net.C.storage.50..Rh_SE","Net.C.storage.60..Rh_SE","NEE_as_NPP_minus_tot_resp_SE"
"amended",1,420,1440,59.4,-200.6,-330.633333333333,-1020,5.29150262212918,24.2693221990232,4.76060220280306,9.48841398759561,12.0565795776046,19.0525588832576
"amended",2,393.666666666667,1702.33333333333,2.76666666666667,-300.433333333333,-452,-1308.66666666667,21.9570287404993,54.3364007314107,30.6491072916941,39.9726712197777,45.081518755842,62.327985510345
"amended",3,408.333333333333,1291.33333333333,146.733333333333,-79.3333333333333,-192.366666666667,-883,30.2342704742666,82.4304420573963,36.1423727930405,43.0275234911071,47.0330498455903,91.5277735626369
"control",1,258.333333333333,1192.33333333333,-58.8666666666667,-270.533333333333,-376.466666666667,-934,12.1700908423525,28.0257817811465,23.1470900498913,30.7034380991952,34.5965958505233,39.1194751157698
"control",2,268.666666666667,1523.33333333333,-136.533333333333,-406.633333333333,-541.7,-1254.66666666667,9.73538791100682,130.836199543976,39.4248793417445,64.4340575920668,77.0759582057423,130.351234917221
"control",3,232,1075,-51.8666666666667,-236.566666666667,-328.933333333333,-843,20.6478408879314,35.1330803279948,21.0166864921926,24.7023840504875,26.6101693175957,53.5194668633137
