"Treatment","Water.year_mean","Annual.NPP_mean","Annual.total.soil.respiration_mean","Net.C.storage.30..Rh_mean","Net.C.storage.50..Rh_mean","Net.C.storage.60..Rh_mean","NEE_as_NPP_minus_tot_resp_mean","Water.year_SE","Annual.NPP_SE","Annual.total.soil.respiration_SE","Net.C.storage.30..Rh_SE","Net.C.storage.50..Rh_SE","Net.C.storage.60..Rh_SE","NEE_as_NPP_minus_tot_resp_SE"
"amended",2,407.333333333333,1477.88888888889,69.6333333333333,-193.455555555556,-325,-1070.55555555556,0.288675134594813,11.5409897515094,66.8600205330436,25.0473606948472,36.2845203875301,42.0970901607225,70.6163561300526
"control",2,253,1263.55555555556,-82.4222222222222,-304.577777777778,-415.7,-1010.55555555556,0.288675134594813,9.24962461700774,78.0987820205054,19.8747521143017,33.9172922865223,41.1476845575112,75.3597135063098
